,Sr No,Date,Startup Name,Industry Vertical,Sub-Vertical,City,Investors Name,Investment Type,Amount (USD),Remarks
1075,1076,17-01-2017,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,500000,No Remarks
1076,1077,17-01-2017,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bengaluru,"Ajith Nair, Anish K",Seed Funding,147000,No Remarks
1077,1078,18-01-2017,Kratikal,Technology,Cyber Security Solution provider,New Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",Seed Funding,1750000,No Remarks
1078,1079,18-01-2017,Direct Create,eCommerce,B2B Marketplace for Handicrafts,Gurugram,Rajasthan Venture Capital Fund,Seed Funding,1750000,No Remarks
1079,1080,18-01-2017,Vahdam Teas,eCommerce,Online Tea etailer,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,650000,No Remarks
1080,1081,18-01-2017,Qwikspec,Technology,Cloud-based construction,Bengaluru,Undisclosed Investors,Seed Funding,300000,No Remarks
1081,1082,19-01-2017,PParke,Consumer Internet,Parking Solutions mobile app,Bengaluru,SB Ventures,Seed Funding,1750000,No Remarks
1082,1083,19-01-2017,Weddingz,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,1000000,No Remarks
1083,1084,19-01-2017,Native Special,eCommerce,Indian Sweets & Snacks etailer,Karur,"Indian Angel Network, Native Angels Network",Seed Funding,1750000,No Remarks
1084,1085,19-01-2017,Fitnapp,Consumer Internet,Fitness Mobile App,Noida,SD Group,Private Equity,1750000,No Remarks
1085,1086,20-01-2017,Ethosh,Technology,Visual and Interactive communications Solutions,Pune,Deepak Nathani,Seed Funding,1750000,No Remarks
1086,1087,20-01-2017,Wydr,eCommerce,B2B Wholesale Marketplace in India,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital",Private Equity,1750000,No Remarks
1087,1088,20-01-2017,Tyre Express,Technology,IoT platform for Tyre Performance management & tracking,Mumbai,IvyCamp Ventures,Seed Funding,1750000,No Remarks
1088,1089,20-01-2017,Connaizen,Technology,Data Analytics platform,New Delhi,Umang Moondra,Seed Funding,1750000,No Remarks
1089,1090,22-01-2017,MessaGif,Consumer Internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,50000,No Remarks
1090,1091,23-01-2017,SmartHi,Technology,Audit automation Solutions,Pune,Singapore based investor,Seed Funding,1750000,No Remarks
1091,1092,23-01-2017,CRON Systems,Technology,Border Intrusion Alert Solutions,New Delhi,YourNest Fund II,Seed Funding,1750000,No Remarks
1092,1093,23-01-2017,CueMath,Technology,Maths Learning program,New Delhi,"CapitalG, Sequoia India",Private Equity,15000000,No Remarks
1093,1094,23-01-2017,ChipperSage,Technology,Online learning platform,Bengaluru,India Educational Investment Fund,Seed Funding,1750000,No Remarks
1094,1095,24-01-2017,SelectJobs,Consumer Internet,Online Job portal,Mumbai,India Educational Investment Fund,Seed Funding,1750000,No Remarks
1095,1096,24-01-2017,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Bengaluru,Indochine International,Private Equity,500000,No Remarks
1096,1097,24-01-2017,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,10000000,No Remarks
1097,1098,24-01-2017,Lets Transport,Consumer Internet,Online transport vehicle booking platform,Bengaluru,"GMO Japan, Neelesh Bhatnagar",Private Equity,4000000,No Remarks
1098,1099,24-01-2017,BetaOut,Technology,ECommerce Marketing Software,Noida,East Ventures & Others,Private Equity,1750000,No Remarks
1099,1100,25-01-2017,Wishberry,Consumer Internet,Crowdfunding Platform,Mumbai,"Sharad Sharma, Rajan Anandan, Amit Ranjan, Alok Mittal & others",Seed Funding,1750000,No Remarks
1100,1101,25-01-2017,RML Agtech,Technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,4000000,No Remarks
1101,1102,25-01-2017,LoyaltyPrime,Technology,Loyalty program management solutions,New Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,1750000,No Remarks
1102,1103,25-01-2017,InstaSafe,Technology,Security-as-a-Service solution provider,Bengaluru,ABM Knowledgeware,Private Equity,2200000,No Remarks
1103,1104,25-01-2017,Infibeam,eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,8800000,No Remarks
1104,1105,02-01-2017,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,1750000,No Remarks
1105,1106,26-01-2017,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,1400000,No Remarks
1106,1107,26-01-2017,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,300000,No Remarks
1107,1108,26-01-2017,Kochi Post,Consumer Internet,English Online News portal,Kochi,"Rajesh Yohannan, Puthen & Cole",Seed Funding,1750000,No Remarks
1108,1109,30-01-2017,Intuit Things,Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,106000,No Remarks
1109,1110,30-01-2017,Cloudrino,Technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,22500,No Remarks
1110,1111,30-01-2017,FabX,eCommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,68000,No Remarks
1111,1112,30-01-2017,Maptags,Consumer Internet,Smart Online address tags,Bengaluru,The Ten Minute Million,Seed Funding,18000,No Remarks
1112,1113,30-01-2017,YOLO Health,Consumer Internet,Online Healthcare platform,Mumbai,Chandigarh Angels Network (CAN),Seed Funding,1750000,No Remarks
1113,1114,31-01-2017,Heads Up For Tails,eCommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,2000000,No Remarks
1114,1115,31-01-2017,Register My Marriage,Consumer Internet,Online Marriage Registration services,New Delhi,Mumbai Angels,Seed Funding,1750000,No Remarks
1115,1116,01-12-2016,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,1200000,No Remarks
1116,1117,01-12-2016,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,4000000,No Remarks
1117,1118,01-12-2016,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,3600000,No Remarks
1118,1119,02-12-2016,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,100000,No Remarks
1119,1120,02-12-2016,Streo,Consumer Internet,Live Music Streaming App,Bengaluru,"GEMs Advisory, Quarizon",Seed Funding,1750000,No Remarks
1120,1121,02-12-2016,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,3000000,No Remarks
1121,1122,05-12-2016,Mr Hot Foods,Consumer Internet,Online Food Ordering & Delivery Portal,Indore,IvyCamp Ventures,Seed Funding,1750000,No Remarks
1122,1123,05-12-2016,UrDoorStep,eCommerce,Online Grocery Store,Bengaluru,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,1400000,No Remarks
1123,1124,05-12-2016,ONN Bikes,eCommerce,"On-demand, self-drive bike rental platform",Mumbai,Grace Capital Ventures,Seed Funding,1750000,No Remarks
1124,1125,06-12-2016,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,147000,No Remarks
1125,1126,06-12-2016,THB,Technology,Clinical research and data analytics,Gurugram,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,1750000,No Remarks
1126,1127,07-12-2016,LookAtMe,Consumer Internet,Mobile App based Fashion Network,Singapore,Eros Labs,Seed Funding,1750000,No Remarks
1127,1128,07-12-2016,Netree,eCommerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,1750000,No Remarks
1128,1129,07-12-2016,BookEventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,1750000,No Remarks
1129,1130,07-12-2016,Tailslife,Consumer Internet,Pet Parenting mobile app,Bengaluru,"Mohan Kumar, V. Balakrishnan",Seed Funding,1750000,No Remarks
1130,1131,07-12-2016,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,9000000,No Remarks
1131,1132,07-12-2016,WealthApp,Consumer Internet,Online Investment Advisory platform,Bengaluru,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar, Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,440000,No Remarks
1132,1133,07-12-2016,Vehico,Technology,Connected Transportation solutions,Bengaluru,"Calcutta Angel Network, Appliyifi",Seed Funding,1750000,No Remarks
1133,1134,08-12-2016,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,6500000,No Remarks
1134,1135,08-12-2016,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurugram,Venture Catalysts,Seed Funding,250000,No Remarks
1135,1136,09-12-2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,6000000,No Remarks
1136,1137,09-12-2016,Nykaa,eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,1750000,No Remarks
1137,1138,09-12-2016,Wittyparot,Technology,Content Management & Productivity platform,Bengaluru,Mumbai Angels,Seed Funding,450000,No Remarks
1138,1139,09-12-2016,NeuroEquilibrium,Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,250000,No Remarks
1139,1140,12-12-2016,Xseed Education,Technology,Education & learning Tech platform,Bengaluru,Verlinvest SA,Private Equity,10000000,No Remarks
1140,1141,12-12-2016,Rupaiya Exchange,Consumer Internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,200000,No Remarks
1141,1142,12-12-2016,Doctor Insta,Consumer Internet,Online Doctor Consulting platform,Gurugram,RoundGlass Partners,Private Equity,2000000,No Remarks
1142,1143,12-12-2016,UrbanPiper,Consumer Internet,Self-Branded Websites & Apps for Ecommerce,Bengaluru,"Axilor, undisclosed investors",Seed Funding,1750000,No Remarks
1143,1144,12-12-2016,Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,2000000,No Remarks
1144,1145,13-12-2016,Indifi,Consumer Internet,Online lending platform,Gurugram,Omidyar Network,Private Equity,10000000,No Remarks
1145,1146,13-12-2016,GoComet,Logistics,Marketplace for International Freight,Mumbai,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",Seed Funding,1750000,No Remarks
1146,1147,13-12-2016,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,Gurugram,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,11100000,No Remarks
1147,1148,14-12-2016,Fitmein,Consumer Internet,Fitness Discovery & Booking platform,New Delhi,"FiNC, GHV",Seed Funding,1750000,No Remarks
1148,1149,14-12-2016,Qacco,Consumer Internet,Hotel Booking platform,Gurugram,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,150000,No Remarks
1149,1150,14-12-2016,Fitpass,Consumer Internet,Fitness center aggregator & Booking mobile app,New Delhi,Mumbai Angels,Seed Funding,1000000,No Remarks
1150,1151,14-12-2016,MoEngage,Technology,User analytics and engagement platform,Bengaluru,Anand Chandrasekaran,Seed Funding,1750000,No Remarks
1151,1152,14-12-2016,Ten3t Health,Technology,medical grade wearable patch maker,Bengaluru,"V. Krishna Prasad, Bhupen Shah & Others",Seed Funding,1750000,No Remarks
1152,1153,14-12-2016,Trading Bells,Consumer Internet,Online Share & Commodity Broking platform,Indore,Swastika Investmart Ltd,Seed Funding,297000,No Remarks
1153,1154,15-12-2016,SERV'D,Consumer Internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,100000,No Remarks
1154,1155,15-12-2016,IdeaForge,Technology,Drone Manufacturing,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,10000000,No Remarks
1155,1156,15-12-2016,Amagi Media Labs,Technology,Media Technology Solutions,Mumbai,"Emerald Media, Premji Invest",Private Equity,35000000,No Remarks
1156,1157,15-12-2016,Pocket Aces,Technology,Digital Entertainment Company,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,3000000,No Remarks
1157,1158,16-12-2016,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,23000000,No Remarks
1158,1159,16-12-2016,TripShelf,Consumer Internet,Holiday Packages provider,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,123000,No Remarks
1159,1160,19-12-2016,Events High,Consumer Internet,Events & Activities Marketplace,Bengaluru,Axilor Ventures,Private Equity,1750000,No Remarks
1160,1161,19-12-2016,NoBroker,Consumer Internet,Rental property search portal,Bengaluru,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,7400000,No Remarks
1161,1162,20-12-2016,VivoCarat,eCommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,50000,No Remarks
1162,1163,20-12-2016,Tiyo,Consumer Internet,Doctor Search Mobile App,Kolkata,Ajith Nair,Seed Funding,1750000,No Remarks
1163,1164,20-12-2016,Zoomcar,Consumer Internet,Self-Driven Cab booking platform,Bengaluru,Cyber Carrier CL,Private Equity,1750000,No Remarks
1164,1165,20-12-2016,BYJU's,Consumer Internet,Online Learning platform,Bengaluru,International Financial Corporation,Private Equity,15000000,No Remarks
1165,1166,21-12-2016,Supr Daily,Consumer Internet,Daily Subscription based Delivery service,Mumbai,"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani",Seed Funding,1750000,No Remarks
1166,1167,21-12-2016,The BlueBook,Consumer Internet,online to offline marketing platform,Bengaluru,"Indian Angel Network, Let’s Venture",Seed Funding,500000,No Remarks
1167,1168,21-12-2016,MamaEarth,eCommerce,Babycare Products seller,New Delhi,Fireside Ventures & Others,Seed Funding,1750000,No Remarks
1168,1169,21-12-2016,Vegetall,eCommerce,Online Vegetable eTailer,Chennai,The Chennai Angels,Seed Funding,162000,No Remarks
1169,1170,22-12-2016,Innoplexus,Technology,Data as a Service Provider,Pune,HCS Venture capital fund,Private Equity,1750000,No Remarks
1170,1171,22-12-2016,Mindler,Consumer Internet,Career Planning & Assessment platform,New Delhi,Taxmann,Seed Funding,324000,No Remarks
1171,1172,22-12-2016,MCaffeine,eCommerce,Personal care product etailer,Bengaluru,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,300000,No Remarks
1172,1173,23-12-2016,enKast,Technology,Cloud based CRM for Agencies,Bengaluru,Ivy League Alumni Angel Network,Private Equity,2000000,No Remarks
1173,1174,23-12-2016,ShopKirana,eCommerce,B2B platform for Merchants & Retailers,Indore,"Incubate Fund, Lead Angels Group & Others",Private Equity,1750000,No Remarks
1174,1175,23-12-2016,MyAdvo,Consumer Internet,Legal Advice Platform,New Delhi,"Pradyumna Dalmia, S. Somasegar & Others",Seed Funding,1750000,No Remarks
1175,1176,23-12-2016,Asocon,Technology,Process management startup,Noida,Quarizon,Seed Funding,1750000,No Remarks
1176,1177,23-12-2016,LexComply,Consumer Internet,Compliance Management Software,New Delhi,Ajay Relan,Seed Funding,1750000,No Remarks
1177,1178,26-12-2016,The Postbox,eCommerce,Art & Lifestyle ECommerce Store,Chennai,"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram",Seed Funding,1750000,No Remarks
1178,1179,26-12-2016,Pandorum Technologies,Technology,3D printed experimental Human Liver tissue creator,Bengaluru,"Sachin Bansal, Binny Bansal",Seed Funding,1750000,No Remarks
1179,1180,26-12-2016,Dekkho,Consumer Internet,Video Streaming platform,Mumbai,undisclosed investors,Seed Funding,1200000,No Remarks
1180,1181,26-12-2016,Shadowfox,Logistics,On-Demand Delivery Service,Gurugram,Eight Roads Ventures,Private Equity,10000000,No Remarks
1181,1182,27-12-2016,ShopX,eCommerce,SAAS ECommerce Retail app,Bengaluru,Nandan Nilekani,Private Equity,5000000,No Remarks
1182,1183,28-12-2016,BookEventz,Consumer Internet,Online event-booking platform,Mumbai,"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian",Seed Funding,1750000,No Remarks
1183,1184,29-12-2016,Healthifyme,Consumer Internet,Fitness Mobile App,Bengaluru,NB Ventures,Private Equity,1000000,No Remarks
1184,1185,29-12-2016,LetsMD,Consumer Internet,Healthcare plan comparison platform,New Delhi,"WaterBridge Ventures,",Seed Funding,1750000,No Remarks
1185,1186,29-12-2016,Justbooks,Consumer Internet,Library Chain Aggregator,Bengaluru,CoCreate Ventures,Seed Funding,1750000,No Remarks
1186,1187,30-12-2016,InstantPay,Consumer Internet,Digital payments & recharge platform,New Delhi,"RB Investments, Kaleden Holdings",Private Equity,1750000,No Remarks
1187,1188,01-11-2016,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,200000,No Remarks
1188,1189,02-11-2016,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,55000000,No Remarks
1189,1190,02-11-2016,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bengaluru,Undisclosed Investors,Seed Funding,150000,No Remarks
1190,1191,02-11-2016,LetsMD,Consumer Internet,Healthcare Services Comparison Platform,New Delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",Seed Funding,1750000,No Remarks
1191,1192,02-11-2016,Sattviko,Food & Beverage,Health Food Restaurant Chain,New Delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",Seed Funding,1750000,No Remarks
